Year,Biogas,Coal and peat,Marine energy,Natural gas,Nuclear,Oil,Onshore wind energy,Other non-renewable energy,Pumped storage,Renewable hydropower,Renewable municipal waste,Solar photovoltaic,Solid biofuels,Total non-renewable,Total renewable,type,Fossil fuels n.e.s.
2024-01-01,1917.1582517781512,21246.89038765935,1.0000026043700116,102262.58248243522,90535.81229515908,5178.377598369039,41242.93819242389,465.9547057281328,111.0,418870.256174601,171.55601670276732,8701.636033941508,8472.947524454843,214180.6211638972,464727.2633422131,generation,
2025-01-01,1922.7148718879496,19580.87689726887,1.0000009661307516,107730.48513500864,91152.01730029634,4682.500427911175,41774.44797601514,458.66657747428206,111.0,327897.1073100425,172.80669676277134,10897.60520000543,8473.843606550496,214183.9524961329,403313.7577496343,generation,
2026-01-01,1918.201986285697,18374.67579529712,1.000001996640188,112743.90777250538,91407.05859031714,5179.88171903866,42157.79443974505,453.8575780816748,111.0,470168.6406854326,171.7234428113653,13854.905589502683,8473.924326444756,214184.711517408,485501.5334231792,generation,
2027-01-01,1921.8671885231336,17501.380886948657,1.000001348413934,117340.62577192608,91512.61771280592,4680.991744863766,42434.27949381367,450.684407364505,111.0,247672.33862689903,172.6616836618935,17837.486824646505,8473.931597766616,214184.88445521644,375512.20119100006,generation,
2028-01-01,1918.890444013013,16869.111528463844,1.0000017561707788,121555.27470420698,91556.30761235,5181.394978302703,42633.69175493,448.5906220303288,111.0,595630.9446475565,171.84904329030078,23200.808505071436,8473.932252773935,214184.9238579138,522707.4879077658,generation,
2025-01-01,358.4731073028854,2971.792793531941,1.1999999999999995,20219.78640100772,12748.440675088024,6019.622981649408,18973.335683150457,38.00594081262003,174.0,83512.46914349274,38.00594081262003,6609.203106954141,2316.899852312178,45220.73534133848,111104.96948787502,capacity,1374.2642789795125
2026-01-01,364.0977383747936,2398.747279319562,1.1999999999999995,19803.711403830377,12688.325718545168,6019.246910743788,20646.042180995355,38.0056758523921,174.0,83518.88484334666,38.0056758523921,7584.644229207706,2316.791848388955,45232.8995823799,112517.16947198144,capacity,1374.4383424513026
2027-01-01,368.9851090323096,1956.3086200109335,1.1999999999999995,19641.03879427149,12733.816369224372,6019.473930795162,22576.41209009749,38.0056876696176,174.0,83521.72960085676,38.0056876696176,8723.05275517111,2316.781245405773,45230.01321262777,113763.24683254276,capacity,1374.552986802766
2028-01-01,373.2318572436273,1614.709283839762,1.1999999999999995,19577.438774851395,12699.392335369468,6019.33688721387,24804.13583647378,38.00568714256937,174.0,83522.99098238576,38.00568714256937,10051.655725068536,2316.780204487545,45230.69809961066,114862.74322538964,capacity,1374.6284956225502
2029-01-01,376.92195395086105,1350.9662676780877,1.1999999999999995,19552.57311073495,12725.441954118607,6019.419615338808,27375.01775230156,38.00568716607573,174.0,83523.55028607194,38.00568716607573,11602.229013446218,2316.7801022983085,45230.53558745192,115832.90154472445,capacity,1374.6782283986745
